"Subject","Begin Date","Start","End Date","End","WholeDay","Alarm"
"Caturthi; Sri Purusottama Dasa Thakura -- Appearance; ","27.2.2020","0:00:00","28.2.2020","0:00:00","True","False"
"Pancami; ","28.2.2020","0:00:00","29.2.2020","0:00:00","True","False"
"Sasti; ","29.2.2020","0:00:00","1.3.2020","0:00:00","True","False"
"Sasti; ","1.3.2020","0:00:00","2.3.2020","0:00:00","True","False"
"Saptami; ","2.3.2020","0:00:00","3.3.2020","0:00:00","True","False"
"Astami; ","3.3.2020","0:00:00","4.3.2020","0:00:00","True","False"
"Navami; ","4.3.2020","0:00:00","5.3.2020","0:00:00","True","False"
"Dasami; ","5.3.2020","0:00:00","6.3.2020","0:00:00","True","False"
"Ekadasi (suitable for fasting); Trisprsa Mahadvadasi; Fasting for Amalaki vrata Ekadasi; ","6.3.2020","0:00:00","7.3.2020","0:00:00","True","False"
"Trayodasi; Break fast 06:26 - 10:08 (LT); Sri Madhavendra Puri -- Disappearance; ","7.3.2020","0:00:00","8.3.2020","0:00:00","True","False"
"Caturdasi; ","8.3.2020","0:00:00","9.3.2020","0:00:00","True","False"
"Purnima; Gaura Purnima: Appearance of Sri Caitanya Mahaprabhu; (Fast today); Last day of Govinda Masa; ","9.3.2020","0:00:00","10.3.2020","0:00:00","True","False"
"Pratipat; Festival of Jagannatha Misra; First day of Visnu Masa; ","10.3.2020","0:00:00","11.3.2020","0:00:00","True","False"
"Dvitiya; ","11.3.2020","0:00:00","12.3.2020","0:00:00","True","False"
"Tritiya; ","12.3.2020","0:00:00","13.3.2020","0:00:00","True","False"
"Pancami; ","13.3.2020","0:00:00","14.3.2020","0:00:00","True","False"
"Sasti; Mina Sankranti; ","14.3.2020","0:00:00","15.3.2020","0:00:00","True","False"
"Saptami; ","15.3.2020","0:00:00","16.3.2020","0:00:00","True","False"
"Astami; Sri Srivasa Pandita -- Appearance; ","16.3.2020","0:00:00","17.3.2020","0:00:00","True","False"
"Navami; ","17.3.2020","0:00:00","18.3.2020","0:00:00","True","False"
"Dasami; ","18.3.2020","0:00:00","19.3.2020","0:00:00","True","False"
"Ekadasi (suitable for fasting); Fasting for Papamocani Ekadasi; ","19.3.2020","0:00:00","20.3.2020","0:00:00","True","False"
"Dvadasi; Break fast 08:00 - 09:53 (LT); Sri Govinda Ghosh -- Disappearance; ","20.3.2020","0:00:00","21.3.2020","0:00:00","True","False"
"Trayodasi; ","21.3.2020","0:00:00","22.3.2020","0:00:00","True","False"
"Caturdasi; ","22.3.2020","0:00:00","23.3.2020","0:00:00","True","False"
"Caturdasi; ","23.3.2020","0:00:00","24.3.2020","0:00:00","True","False"
"Amavasya; ","24.3.2020","0:00:00","25.3.2020","0:00:00","True","False"
"Pratipat; ","25.3.2020","0:00:00","26.3.2020","0:00:00","True","False"
"Dvitiya; ","26.3.2020","0:00:00","27.3.2020","0:00:00","True","False"
"Tritiya; ","27.3.2020","0:00:00","28.3.2020","0:00:00","True","False"
"Caturthi; ","28.3.2020","0:00:00","29.3.2020","0:00:00","True","False"
"Pancami; Sri Ramanujacarya -- Appearance; ","29.3.2020","0:00:00","30.3.2020","0:00:00","True","False"
"Sasti; ","30.3.2020","0:00:00","31.3.2020","0:00:00","True","False"
"Saptami; ","31.3.2020","0:00:00","1.4.2020","0:00:00","True","False"
"Astami; ","1.4.2020","0:00:00","2.4.2020","0:00:00","True","False"
"Navami; Rama Navami: Appearance of Lord Sri Ramacandra; (Fast today); ","2.4.2020","0:00:00","3.4.2020","0:00:00","True","False"
"Dasami; ","3.4.2020","0:00:00","4.4.2020","0:00:00","True","False"
"Ekadasi (suitable for fasting); Fasting for Kamada Ekadasi; ","4.4.2020","0:00:00","5.4.2020","0:00:00","True","False"
"Dvadasi; Break fast 06:01 - 10:34 (DST); Damanakaropana Dvadasi; ","5.4.2020","0:00:00","6.4.2020","0:00:00","True","False"
"Trayodasi; ","6.4.2020","0:00:00","7.4.2020","0:00:00","True","False"
"Caturdasi; Last day of Visnu Masa; ","7.4.2020","0:00:00","8.4.2020","0:00:00","True","False"
"Pratipat; Sri Balarama Rasayatra; Sri Krsna Vasanta Rasa; Sri Vamsivadana Thakura -- Appearance; Sri Syamananda Prabhu -- Appearance; First day of Madhusudana Masa; ","8.4.2020","0:00:00","9.4.2020","0:00:00","True","False"
"Dvitiya; ","9.4.2020","0:00:00","10.4.2020","0:00:00","True","False"
"Tritiya; ","10.4.2020","0:00:00","11.4.2020","0:00:00","True","False"
"Caturthi; ","11.4.2020","0:00:00","12.4.2020","0:00:00","True","False"
"Pancami; ","12.4.2020","0:00:00","13.4.2020","0:00:00","True","False"
"Sasti; ","13.4.2020","0:00:00","14.4.2020","0:00:00","True","False"
"Saptami; Sri Abhirama Thakura -- Disappearance; Tulasi Jala Dan begins.; Mesa Sankranti; ","14.4.2020","0:00:00","15.4.2020","0:00:00","True","False"
"Astami; ","15.4.2020","0:00:00","16.4.2020","0:00:00","True","False"
"Navami; ","16.4.2020","0:00:00","17.4.2020","0:00:00","True","False"
"Dasami; Srila Vrndavana Dasa Thakura -- Disappearance; ","17.4.2020","0:00:00","18.4.2020","0:00:00","True","False"
"Ekadasi (suitable for fasting); Fasting for Varuthini Ekadasi; ","18.4.2020","0:00:00","19.4.2020","0:00:00","True","False"
"Dvadasi; Break fast 05:20 - 10:18 (DST); ","19.4.2020","0:00:00","20.4.2020","0:00:00","True","False"
